"payer_id","activity_code","coverage_score"
"INS001","86593",0.6000
"E001","BO1-B447-02859-01",1.0000
"INS012","1554-265601-1022",0.0000
"INS002","71045",1.0000
"INS013","76872",1.0000
"E001","L58-9637-04308-01",1.0000
"INS038","73564",1.0000
"INS001","83090",0.7333
"INS013","5659-863101-3871",1.0000
"E001","20611",0.4610
"E001","87340",0.5286
"INS026","58300",0.0000
"INS137","70544",1.0000
"INS013","73560",0.2000
"INS001","87220",0.0000
"E001","C81-6076-06273-01",0.6447
"INS044","82570",0.6522
"INS026","A4930",1.0000
"INS001","0070-124404-2061",1.0000
"INS026","0321-172805-1171",0.0000
"INS005","76881",1.0000
"E001","82175",0.0000
"INS022","4573-777701-1132",1.0000
"INS047","84450",0.0000
"INS026","0318-220303-0801",1.0000
"E001","N65-0079-04533-01",0.3704
"E001","064163",0.0000
"INS008","0336-447501-1131",0.6667
"INS005","86147",1.0000
"INS002","43239",1.0000
"INS002","0336-447501-1131",0.5000
"INS019","A4216",1.0000
"INS137","88312",0.7143
"INS010","A6413",1.0000
"INS001","5939-640405-1631",1.0000
"E001","F75-2496-05350-01",1.0000
"INS014","73721",0.0000
"INS026","84075",0.6383
"E001","R14-7609-04297-01",0.7342
"INS137","83921",0.3333
"E001","L69-4652-05369-01",0.0000
"INS001","87804",0.2143
"INS137","76830",0.8125
"E001","83695",0.2336
"INS013","92250",1.0000
"INS134","87177",1.0000
"E001","R43-8443-02234-01",1.0000
"INS013","0181-361903-1021",1.0000
"INS017","87070",0.8478
"E001","10140",0.5000
"INS019","84480",0.7778
"INS139","84450",1.0000
"INS022","80048",0.0000
"INS010","82043",1.0000
"SP0059","1086-123702-1381",0.0000
"INS042","88341",1.0000
"INS013","83021",0.0000
"SF0051","87880",0.2391
"INS044","83001",0.0000
"INS012","86225",0.7931
"INS015","83721",1.0000
"E001","A36-A201-10728-01",0.2793
"E001","P14-0254-00333-01",0.7063
"E001","E65-3792-04091-01",0.5000
"E001","E09-0101-00458-01",0.0000
"INS001","87070",0.3000
"INS010","84520",1.0000
"INS026","71045",0.5333
"E001","70360",0.0595
"INS001","0181-361903-1021",0.4000
"INS027","82550",0.0000
"INS022","83550",1.0000
"INS026","0042-220701-1171",0.5000
"INS001","61.11",0.0000
"INS006","86140",1.0000
"E001","F27-8587-08489-01",0.2000
"E001","H21-0712-05016-01",0.0000
"SP0026","063130",0.0000
"INS022","5659-863101-3871",0.2222
"INS137","MH150070",1.0000
"INS026","86593",0.0000
"INS017","83718",0.0000
"INS001","85613",1.0000
"INS017","0002-207902-1001",1.0000
"INS013","A6257",1.0000
"INS038","93784",1.0000
"INS001","0188-232402-0391",0.0000
"INS026","82607",0.5921
"INS026","83690",0.5325
"E001","EB3-1400-10825-02",0.8571
"E001","71046",0.7767
"INS001","0278-107902-0391",1.0000
"INS024","87279",0.0000
"INS013","84100",0.0000
"E001","93000",0.7542
"INS137","82746",0.5078
"E001","J58-3350-02999-01",0.0698
"E001","96",1.0000
"E001","084171",0.0000
"INS002","84295",0.6800
"E001","AS7-1656-00784-02",0.0000
"E001","27121",0.0000
"INS002","A6257",1.0000
"E001","02934",0.3555
"E001","78268",1.0000
"E001","97014",0.8472
"INS026","A9270",1.0000
"INS008","84144",0.5208
"INS001","61.01",0.1667
"INS137","93306",1.0000
"SF0051","86147",1.0000
"SF0051","20.09",1.0000
"INS017","70553",1.0000
"INS047","11",1.0000
"INS012","46270",1.0000
"INS001","72040",0.5000
"INS038","82656",0.0000
"INS012","86738",0.1964
"INS033","76641",1.0000
"INS137","93350",1.0000
"INS038","82306",1.0000
"INS084","80076",0.4872
"E001","73502",0.6931
"INS017","86038",0.6250
"E001","70486",0.7273
"E001","85610",0.3454
"INS137","86141",1.0000
"INS028","72148",0.0000
"E001","A36-2231-02631-02",0.5000
"E001","J45-3456-03963-01",0.0000
"INS017","85025",0.8246
"INS002","76700",0.8966
"INS008","84154",1.0000
"E001","02931",0.1111
"INS002","3834-166506-0321",0.0000
"E001","99221",0.2029
"INS137","A6257",1.0000
"INS001","1086-123702-1381",0.4000
"E001","83718",0.5405
"INS001","73120",0.0000
"INS002","84154",0.0000
"INS026","83550",0.3785
"INS008","82378",1.0000
"E001","B48-1158-04972-01",1.0000
"E001","B62-0214-02571-01",0.9000
"E001","23112",0.6743
"INS026","2901-665601-0571",0.5290
"INS013","87880",0.1765
"E001","LAB-088",1.0000
"E001","J45-4849-05534-01",0.0000
"INS044","1400-284703-0862",0.0000
"INS010","93970",1.0000
"INS084","86200",0.0000
"E001","H68-0448-00521-01",0.6667
"E001","O62-1331-01697-01",1.0000
"INS137","84153",0.4130
"E001","D23-0839-01079-01",1.0000
"E001","76700",0.7342
"SP0066","11900",1.0000
"E001","092420",0.0000
"SF0051","88312",1.0000
"E001","A54-4322-05367-01",1.0000
"INS040","82947",0.0000
"INS008","0085-125903-0372",1.0000
"INS008","86812",1.0000
"E001","76870",0.6727
"INS018","97530",1.0000
"E001","93786",1.0000
"E001","062120",0.0000
"INS013","10",0.7179
"INS012","69801",1.0000
"E001","92651",0.0000
"INS026","032120",0.0000
"INS008","72082",0.2000
"INS026","83527",0.0000
"INS137","A4208",1.0000
"INS019","46600",0.0000
"INS022","85025",0.4151
"INS134","97140",0.3333
"INS026","80053",0.8972
"E001","B62-0214-02572-01",1.0000
"INS024","76700",1.0000
"INS026","1394-211703-0391",1.0000
"E001","87338",0.4042
"E001","H46-4867-05148-01",1.0000
"E001","74181",1.0000
"INS137","4584-750801-1021",1.0000
"INS044","87301",1.0000
"INS017","84550",0.4724
"E001","23503",0.0000
"INS044","93350",1.0000
"INS038","82247",1.0000
"INS026","0219-123701-0392",0.0000
"E001","87190",1.0000
"E001","H21-0107-04325-03",0.7647
"INS002","0049-387301-1022",0.0000
"E001","T34-1356-00087-01",1.0000
"INS134","84295",1.0000
"INS008","82043",0.0000
"INS026","86038",0.9237
"INS008","A9270",1.0000
"E001","73610",0.7618
"INS010","90471",0.8750
"INS017","0219-143102-0392",0.0000
"E001","F75-2496-05347-01",0.8519
"E001","A07-2735-01668-01",0.5472
"INS002","062510",0.0000
"INS010","A6216",1.0000
"E001","49520",1.0000
"E001","C07-0784-01361-01",1.0000
"INS013","73562",0.5000
"E001","V30-9118-00313-01",1.0000
"INS001","77081",1.0000
"INS008","96365",0.7353
"E001","J44-3645-04043-01",1.0000
"INS013","10.02",1.0000
"INS137","84466",0.5278
"INS001","1720-123325-0511",0.2000
"INS008","83695",1.0000
"INS013","73721",1.0000
"INS026","82247",0.8358
"E001","L95-8457-08323-02",1.0000
"INS026","0188-135907-2441",0.3529
"INS012","0277-169301-2221",1.0000
"INS012","5659-863101-3871",0.1250
"INS084","84132",0.0000
"INS012","87491",1.0000
"E001","73722",1.0000
"SF0051","97110",0.4839
"INS024","87338",0.8438
"E001","82308",0.2791
"INS013","86787",0.0000
"E001","PA0-C975-03232-01",1.0000
"E001","J45-5619-01789-01",1.0000
"INS008","A4216",1.0000
"INS019","95912",0.4615
"E001","H91-3407-03745-01",1.0000
"INS084","82310",1.0000
"E001","F26-1383-00130-01",1.0000
"E001","R05-5681-04916-01",0.1875
"INS026","86147",0.6117
"INS026","84146",0.9623
"E001","14101",0.0000
"INS017","15",0.6667
"INS013","A4930",1.0000
"INS008","80061",0.6699
"E001","K16-2460-05167-01",0.0000
"INS026","86039",0.6471
"E001","88342",1.0000
"E001","87522",0.2960
"INS001","65",0.4565
"INS017","11.02",0.7586
"INS019","86255",0.8333
"E001","N05-5258-05575-01",0.0000
"E001","83202",0.0000
"INS034","11",0.2308
"INS026","59025",0.0000
"INS019","84100",1.0000
"INS027","85025",0.8621
"INS134","97161",0.5333
"INS026","92250",0.0000
"INS137","85610",0.5393
"E001","76641",0.6154
"INS013","86225",0.9234
"INS012","86803",0.9286
"INS008","83002",1.0000
"E001","88305",0.1507
"INS012","3250-105501-0681",1.0000
"E001","CG3-C377-09118-01",0.0000
"E001","K57-4871-01710-01",0.2105
"E001","D60-0699-00778-01",0.2414
"INS010","A4657",1.0000
"INS002","94642",0.5000
"INS002","9",0.5625
"INS001","86341",0.6471
"E001","F93-2955-00523-01",0.0000
"INS024","82947",1.0000
"INS028","77080",1.0000
"INS019","76882",0.5000
"INS013","82951",1.0000
"E001","K69-1261-05912-01",0.5500
"INS002","86304",1.0000
"INS137","A6402",1.0000
"INS008","51.03",1.0000
"E001","V30-9324-05781-01",0.7778
"E001","73718",0.4414
"INS024","0788-106604-1111",0.5000
"INS051","11.02",1.0000
"INS019","82565",0.5564
"E001","93925",0.9000
"E001","H21-0172-02822-01",0.4848
"E001","A4215",0.4329
"INS010","84484",1.0000
"INS026","86140",0.7165
"E001","70482",0.7500
"INS005","84460",0.3608
"INS139","0069-195307-1131",0.0000
"E001","88184",0.1905
"E001","K53-6455-00136-01",0.8889
"E001","L69-1169-01399-01",1.0000
"INS001","80299",0.4000
"E001","I75-1796-02259-01",0.0000
"INS137","96365",1.0000
"E001","J91-2171-00782-01",0.0000
"INS137","76641",0.8077
"INS002","A4216",1.0000
"INS012","82340",1.0000
"INS022","97161",0.0000
"E001","95812",0.6326
"INS013","88342",1.0000
"INS005","80076",0.2258
"E001","W14-B876-13832-02",0.9563
"INS022","82670",0.6667
"E001","79934",0.0000
"INS044","73552",1.0000
"INS019","87276",0.0000
"INS017","42870",1.0000
"INS014","83735",0.0000
"INS017","0188-585204-0361",0.3333
"E001","84460",0.7632
"E001","52000",0.2857
"INS012","17110-Derma",1.0000
"E001","L78-2845-02989-01",0.7105
"INS014","80053",0.0000
"E001","AX7-9839-05904-01",0.8558
"INS137","92134",0.3333
"E001","J44-2829-05414-01",1.0000
"INS001","1516-107904-1111",0.0000
"E001","L91-1281-05264-01",1.0000
"INS013","85660",0.0000
"E001","43519",0.9231
"E001","F91-1622-01773-01",1.0000
"E001","D86-1376-01774-01",1.0000
"E001","20552",0.0968
"INS137","0094-157001-1451",1.0000
"INS015","82565",0.0000
"INS026","5254-830603-1021",0.8333
"SF0051","96372",1.0000
"E001","A19-0692-02910-02",0.4250
"INS137","92250",0.5000
"INS012","20611",0.2857
"INS017","84156",0.6032
"INS008","76872",1.0000
"INS026","83615",0.1333
"INS137","86304",1.0000
"INS137","0189-134601-1131",1.0000
"E001","66219",0.0000
"INS012","95885",1.0000
"SF0051","84550",0.1429
"INS038","72100",0.8000
"INS026","0188-135905-0352",0.0000
"INS038","92511",1.0000
"INS005","87338",0.7826
"E001","76140",0.6667
"INS008","82607",0.4444
"INS137","5468-863301-1131",0.7143
"E001","062530",0.0000
"INS038","83036",0.6571
"INS001","96372",0.4615
"E001","G05-4876-01719-02",1.0000
"INS005","72131",1.0000
"E001","11042",0.3443
"INS001","83002",0.8667
"E001","C81-3816-04059-01",0.6667
"E001","82652",0.7632
"INS001","83525",0.7846
"E001","55530",0.6429
"SF0051","80076",1.0000
"INS001","86038",0.6981
"E001","G02-5257-05581-01",0.5962
"INS017","86355",0.5909
"INS001","76870",0.5000
"E001","H92-1145-04439-01",0.4065
"INS026","70544",0.5294
"INS013","5917-888701-1131",1.0000
"INS038","9",1.0000
"INS035","10",1.0000
"INS019","6108-111908-1003",0.3333
"E001","K12-3992-01024-01",0.9231
"INS013","82306",1.0000
"INS010","76885",0.2000
"E001","96365",0.7020
"INS012","0005-136504-1021",1.0000
"E001","93926",0.0000
"INS002","76775",0.2727
"INS012","96366",1.0000
"E001","42701",0.0000
"E001","041023",0.0000
"INS013","73030",1.0000
"E001","Y02-1417-01887-02",0.0000
"INS001","73218",1.0000
"INS012","0188-135907-2441",0.5000
"INS013","51.01",0.0000
"INS001","84439",0.4157
"E001","72040",0.7079
